ID,Sentence
399,"Doing something like the actual WebBrowserTask, but with Uri pointing to file in IsolatedStorage"
400,Add a method to run another app passing params.
401,there should be a function to costumise the tile depending on mood
402,"if the homescreens tile automaticaly arranged in recent , most used, favart, and latest updated."
403,then it would be better
404,"Let us buy internet, free sms or minutes in our career codes."
405,Let us call codes *...# I think its one of the most important things here.
406,"Support for word wrap or something would let us give more meaningful titles to our apps, with less app title duplications."
407,The ability to broadcast and bind sockets to a port would be handy for making local client <=> server applications where you dont need to specify the server IP.
408,We want a clean and simple interface which WORKS.
409,"I, for example, wrote four applications in about two days. "
410,Getting them all published took me over three months.
411,Its just not right.
412,The process (particularly for someone under the age of 18) of getting a Dreamspark account (particularly now that youve messed up that website) and an App Hub account is absolutely awful._?_ more
413,windows phone dev is powerless without low level api to access drivers or add features to phone
414,I have developed an app which plays audio using the BackgroundAudioPlayer.
415,"If I am listening to audio over Bluetooth and I pause the audio, if the Bluetooth device disconnects, the audio resumes playing."
416,"I run continous background processing in my app (frequency analysis of the mic, if anyone cares)."
417,Id like to control the priority of this background thread to make the user experience better.
418,"We note that microsoft bought Skype, so we need an app that includes Facebook chat, Skype chat, video call and normal calling."
419,Enterprise feature
420,calendar functionality does not allow for specifying end date for meeting or appointment.
421,Bring back reccurrence from wm 6.5 where you could create complex meeting schedules
422,Then i can write an App to simulate a Keyboard or a mouse and dont need software on PC.
423,"In SDK give an UI explorer view for Isolated Storage to download, upload isolated storage files from device to desktop."
424,This will help in testing out and debugging applications which use Isolated storage significantly.
425,"it is not possible to send an email with an attachement, i.e."
426,when applying for a job.
427,"A faster way to switch between vibration on and off than having to open settings, ringtones+sounds."
428,It would be nice with a switcher on the volume control like the button ring/silent.
429,"Android gives you the capability to zee how much storage a particular app uses, we could really do with this. "
430,when ever i make a call my phones screen goes dark even if im not puting it on my ears.
431,Ive read alot of concerns regarding this problem.
432,why shouldnt I as user be able to see reviews made by people from other countries??
433,"Here in Denmark there arent that many wp users yet, so a lot of apps will show up in the marketplace without any reviews, -even though you can see in apptracker that there exist some reviews..."
434,to sell phones with qwerty sliding like HTC 7 Pro Arrive while OS is not providing landscape for all apps is something between ridicolous and unfair.
435,When you enter a wrong word in the keyboard dictionary (e.g .while typing in word) 
436,the only way to remove it is to clear the full dictionary (by using keyboard / typing settings/ reset suggestions) 
437,We need a way to select the word(s) we want to delete
438,Control to send desired picture to native pinch to zoom controller.
439,One line of code to enable native picture viewer with pinch-to-zoom.
440,Instead of having to tap the screen you should have the choice of locking it at the top of the screen.
441,"Tuenti is a social network as Facebook (in Spanish or English or Catalan), it would be very useful for spanish people or south americans or people who have signed up on it, to have it (integrated) into the people hub."
442,"I have a lot spanish friends who have hesitated to buy a Windows phone (and finally didnt buy it) because their favourite social network wasnt neither on the marketplace, neither on the people hub"
443,android has the pull down notification area well we should have a live tile where all notifications come in so if ur using an app n its not pin to ur start screen u can still know when u have a notification.
444,"possibility of viewer and writter .rar files, and native support .rar would good job"
445,"The built-in support for some DPWS devices would be nice, especially printing to WSD printers (or capturing images from WSD scanners) would be a significant feature."
446,Implementing such protocol is not impossible and printing from applications would be welcome not only by developers but by end users as well - once available in Office applications etc.
447,"If phone is lost allow remotely setting custom message on the lock screen, i.e. contact information."
448,As for now the PictureDecoder can only decode JPG and run on the UI thread.
449,I am especially thinking about tile generation on background agents : Id like to have an enriched PictureDecoder able to run on any thread and decode PNG as well.
450,"extended ability to highlight text or links within apps such as Facebook and Twitter for copy paste, individual text/word highlight of a text bubble with the WP7 txts."
451,"improoved text edit cursor positioning, when highlighting text close to the top of the screeb or too far down, the scrolling plays up anf makes it awkward to get it right."
452,wifi data transfer wp7 to wp7
453,The ability for applications to follow the data connection of the device (especially Edge/3G etc.)
454,"if they run as background tasks with live tiles, as most carriers provide limited amount of connection"
455,We can able to call Managed code functionality in silver light 3.
456,But in windows Phone for silverlight dosnt provide the dll System Windows Browser. 
457,Better Multitasking with the ability to have background applications on.
458,Example I am playing a game and i pause and want to play later.
459,"Then i want to use my phone as usual, go in to other apps and that kind of stuff."
460,"Then later when i want to continue playing from where I paused I hold the back button and i see that game is open in the background, not only the 6 latest apps."
461,"It would be really cool if developers could get api access to Xbox Live Gamertags, that way they dont have to make users create a new account just to play multiplayer games."
462,It would also help a lot for leaderboards too.
463,"If you look at all of the most popular programs in any field (Photoshop, Office, Chrome, etc..) one thing is always constant and that is 3rd party extensability. "
464,Bring this to Windows phone to all native apps.
465,"Instead of making a new camera app, allow me to extend the native one."
466,"Bring this to all of the native apps including office, the dialer, people hub, etc..."
467,TAB is usefull to jump from textbox to another e.g.
468,in the registration forms using only the keyboard.
469,Arrows keys to move easly throught the text!
470,When you have more than 5 Groups you need to scroll down in case you want to find a single Contact.
471,The [A-Z]-Button should open the Letter-grid to jump to the desired point in the list.
472,i would like it to work just like the walgreens app
473,The mango way to switch between tab is slow as .... so please implement a quicker way to do that or roll back to the previous IEs chrome.
474,greater permission to manage the music.
475,help define the current position of the current music with the mediaplayer Zune seek position.
476,to obtain another possibilities to move in the music as the default button fast forward.
477,"In a windows desktop, ALT+TAB is used to switch quickly between apps."
478,We need something just as fast in WP7.
479,"One suggestion is: Double tap home icon quickly, to see the list of open apps - as shown currently."
480,This is faster than holding down the Back key for some time.
481,zune payer should support custome codec plugin so one can play any format.
482,Please expand the MessageBoxButton option in Silverlight to include a Yes/No or Yes/No/Cancel option.
483,It would be nice to have a modal control that is standard between applications with additional user choices available.
484,the mutitasking area should have every app that you have opened in it.
485,The last five should be frozen and any more than that should have to restarted.
486,To close an app the user should be able to use her/his finger to flick it upwards WebOS style.
487,"In addition, the user should be able to take a screenshot within the multitasking area by using a finger gesture to drag the app towarda the bottom of the screen, a screen capture icon should appear and the outer edges of the icon should fill with green and onve the edges are_?_ more"
488,It will be very useful if you can asign a static IP
489,IPv6 begins to be widely supported.
490,It was available in WM6.5 (and older) so it would be great to see this included in WP7 (and later)
491,allow sync of ms exchange notes
492,"because push notifications can easily go unnoticeable, there should be a history in the me tile that will also tell you if you missed something."
493,Tile counts are nice but I dont have every app pinned nor do I want it that way.
494,Just a history for one days notifications would be enough.
495,"It would be really nice to have a Share task that I could pass a stream to, in order to share an image."
496,This task could bring up the same interface when I share an photo from my pictures library.
497,It would make it simple to share photos to facebook and twitter if the user already has it setup.
498,It would also make it possible to finally share photos via sms and email programmatically.
499,"Examples: Google should be able to add Google+ support to me, people hubs."
500,Amazon should be able to integrate their cloud music seamlessly with music+video hub.
501,Flickr should be able to integrate with picture hub.
502,When searching in the market you should be able to open the app if already installed.
503,"Please provide APIs for call forwarding and other call management functions(hold/unhold,swap,conference,etc)"
504,"As a user, I would like to be able to select songs that I have put on the device (from my library) to wake up to."
505,"As a developer, I can only allow the user to choose from songs that I included with the app."
506,The main work-around Ive seen in the various alarm clock apps is to force the user to ke the app open over night which is not particularly awesome for battery life.
507,Add an option to customize the size of Pictures uploaded to Skydrive or send via mail.
508,"Right now, you can start apps by holding down the Windows button and saying start appname."
509,"It would be great if you could start an app while adding some instructions, for example: Facebook, show me messages Office, create new Word document Prime TV, mark House Season 1 Episode 4 as watched"
510,"when holding my phone in one hand, the palm of my hand just below my thumb come very close to the search button and a stretch to far can often send me off to the search function while i am texting or writing an email."
511,is there any possibilty that these 3 controls can somehow be made less sensitive or become a more mechanical click?
512,"The touchmove event is called only once, when I move my finger across the screen."
513,So I cant create complex HTML pages with a fixed header and a scrollable content.
514,I will move the content per javascript but I can not because the touchmove event is not triggered.
515,Please implement the whole TouchApi in the Internet Explorer and the WebBrowser Control.
516,This is VERY IMPORTANT for mobile websites because iPhone and Android support this.
517,Emails are non editable while
518,Enable picture password as in Windows 8.
519,deleting multiple for sms as email services
520,I am thinking about a SDK to allow me to create an account app.
521,"So like google, facebook, linkedin I want to create contacts, calendar and access to message hub (also writing messages with my account)."
522,Marketplace upload of this kind should be more restricted to avoid problems.
523,"When Im reading a web page or other document, I would find it incredibly useful to be able to jump to the jump of the document without endless swiping."
524,if more elements one day.
525,We cant see the other:(
526,it is slightly fustrating when one or two screenshots take longer to load and you cannot skip them while swiping through the images.
527,Like windows mobile 6.5 and older version.
528,"Currently, you can only have the review page from the app list with the contextual menu."
529,"It will be pleasant to go the main page of the app in the marketplace to see the general pr??sentation, screenshots & the other users reviews"
530,add capability to enter manual parametets for visual voicemail
531,currently in the all applications view tge jumplist appears only when there are more than 40 apps.
532,i have about 30 apps and it is already difficult to find an app ...i think the jumplist shuld be always available.
533,I believe scrolling should be improved.
534,"As sometimes when users are viewing a long document, they sometimes might want to skip to the middle/lower section."
535,But scrolling seems to take a little long..
536,"Thus, this idea is actually for the developers to make scrolling faster after each subsequent scroll, like every 5 scrolls the scrolling speed will increase.."
537,"ensure that we can buy clips, movies and videos directly to WP7 without necessarily going through a PC"
538,Swipe from the top down with two fingers and flick through the last closed app as seen in Windows 8.
539,"For instance, email and messaging notifications could be silenced at night, whilst call ringtones would function as normal."
540,by benchmarking a developer a good developer work.
541,it will encourage a developer to design better apps and it makes very easy for customers to choose the right apps ibstead of selectibg some poorly designed apps and wasting the time..
542,I see many developers can be benefited from text2speech api.
543,It can also bring in whole range of new apps for windows phone.
544,"In Android For C2DM , Google is providing free account and restrict number of messages per day."
545,Supporting Windows Authentication could be very usefull for example writing app that interacts with Microsoft Dynamics CRM
546,currently only a defined set of extensions are supported for files to upload to SkyDrive using the new live API which limit really the usage of the API.
547,For example my app can export .CSV files and I had to rename their extensions to .TXT to be able to upload them to SkyDrive using the live API.
548,The language should be a search critreria for apps and games.
549,The non-english marketplaces are filled with apps that support only english and it is hard to find apps in my native language.
550,If its MS Windows Phone then make it as a part of the network.
551,Will see all shared resources.
552,One shared folder can be set on phone device.
553,Easy to access and transfer on both sides PC-Phone.
554,A business feature that would be really nice to have support for it the ability to tie into a VoIP network for voip phone calls... the most common architecture is the SIP (Session Initiation Protocol).
555,So I would like the ability to configure a SIP client that ties into our VoIP PBX and phone system.. so my WP7 would basically become my desk phone (extension).
556,The only way this would really work well is if it ran in the background like the phones native phone functionality.
557,If there is an app developer the a customer lukes id be good to see everything that they have made.
558,"Full (or almost) Entity Framework support, including graphic class designer and interop with regular EF assemblies, making it easy for developers to reuse model and persistence classes in the phone, without the need to redo all the work in Linq and some nasty tricks."
559,It would be nice to have the Deployment ability on my home PC able to be done wirelessly.
560,"This includes deploying in Visual Studio while developing, and using the Application Deployment Tool that is installed w/ the dev tools."
561,"For me, the benefit would be that when I dont have a microUSB cable handy, I can still dev and deploy to my phone to try something out, or deploy my friends XAP to my phone w/o having to go find a cable first."
562,"This could be implemented via WiFi, of course (since Zune does wireless Sync already), or even Bluetooth once we get Bluetooth data transfer ability."
563,Wp7.5 lacks USB audio functionality with Microsoft Sync in cars.
564,Bluetooth playing audio is very limited.
565,Requesting MTP and mass storage functionality since competitors like iPhone are able to do all this already with Sync.
566,"In IsolatedStorage ,image file can save to local MediaLibrary,why not record wave file can not?"
567,too slow and too little possibilities
568,I took a while until I realized that I forgot {StaticResource} within the Style attribute...
569,Its very hard to create application supporting multiple languages.
570,"Give functionalities like Resource manager, as given by IDE of other platforms."
571,Managing resources and folder structure for them should be made easier.
572,make an EQ for the mp3 player...at the moment the volume its really low
573,Curently 20 persons max.
574,Please enable pinning of the Wi-Fi settings on Start page.
575,SplashScreenImageLight and SplashScreenImageDark would be great!
576,"After that, it would be great to have the option to select an image from IsolatedStorage so that my app can update its splash screen image as needed."
577,Make it so that a meteo style app would only need to adapt its UI to run on Windows phone.
578,It would also be nice to have to deploy only one package to the marketplace but only the needed bits would be tranfered.
579,Add movies and books would be an excellent addition for the system !
580,"Enable Speech Command to play songs selection by saying play song name, play artist, play album."
581,I believe the single most important thing for Windows Phone to be successful is that users in all countries should have the same services available.
582,Now when the marketplace has become available it would be great if users in other countries than US could migrate their accounts to the country they really live in.
583,Allow user to set different accent colors for different tiles.
584,"we should have small tiles instead of a long list of apps of which you downloaded, like android and ios."
585,An app should be able to publish a service that is disvoerable and consumable by other apps.
586,"For example, if I have an app that can process images, I want other apps to be able to dicover my app and submit photos for me to process."
587,I would like access to a stream for music played via the media library.
588,"i wish the functionality to access and synchronize the public folder from exchange, e.g. the public contacts or the calendar."
589,This would enable live traffic aware apps.
590,Please try other formatting like bold italics shadow to distinguish titles/subtitles from content.
591,Since computers were invented to save time I suggest we be allowed to upload them all in one zip file - using numbering for the file names and the portal could place them in the right order.
592,Allow rearranging if the user wants to change them!
593,Add SIMD instructions for better use of ARM NEON instructions for math and games.
594,Also using a hot swapping code generator (optimized machine code like HotSpot in Java does) would also be very helpful to mitigate slow C# code.
595,Microsoft should seriously look into getting rid of Symantec for all these payment stuff.
596,I would be extremely useful in a variety of app types to be notified upon call started and ended events at least be able to check whether or not the device is being used for a phonecall.
597,I would like to see informatin about the certification process in the dev center app.
598,It would be nice to see at a glance if an app is featured in one of the markets .
599,Also I would be fun to have a record showing the featured markets and dates.
600,Make ProgressRing control available for Windows Phone just like Win8.
601,It would be great if the OS moved on to the second third etc NFC record and tried to trigger off of them until there was a success.
602,We need for our applications on each of the mobile platforms to be able to read data on a separate NDEF records contained in an NDEF message.
603,Provide Process Class/APIs (like that for regular Windows) to develop lower level operations like Task Manager in Windows
604,Please add the possibility the set price (& market distribution) and trial mode existence individually for the XAPs.
605,Add the ability to do memory profiling on background agent (periodic) as they are limited on memory and sometimes its too hard to catch memory leaks.
606,Either one has to use .NET to access a library or Microsoft advises to do a .NET app with native code in a WinRT component.
607,Dont limit us artifically just because you dont like native developers.
608,These page templates should be updated to use the medium-sized semibold font by default for the title text.
609,Task-based operations would make the code much more clean and readable.
610,Add a boolean to CameraCaptureTask to indicate whether you want it to save the picture taken to be saved to the camera roll.
611,Please expose ETW logging namespaces like System.Diagnostics.Eventing so that it is possible to log events from the windows 8 app.
612,Currently the only way to take advantage of the direct manipulation in a XAML Windows store app is by using a ScrollViewer.
613,Instead of having a top charts style listing where the most popular apps are displayed to every phone anywhere create a new form of distribution where the results are randomized every time a user looks at the marketplace.
614,Highly rated apps should appear near the top more and they should appear less and less frequently and the rating of the app dwindles.
615,It seems to me that all good apps/games should have a chance at decent exposure in the top charts and waiting to be featured just isnt worth it.
616,Maybe you should think about some way to reward those users who take their time to actually try an app and review it.
617,It would be great to be able to use the WP8 emulator (and Surface emulator for that matter) for mobility demonstrations i.e. when I deliver a Dynamics CRM demo I often (nearly always) want to include mobility scenarios on the same screen as the rest of the demo.
618,It will even allow seamless migration to new hardware.
619,I would like to ask Microsoft to give us a tool(option in emulator) with which we can take screenshots once in one emulator and it will produce screenshots in all resolutions and all languages supported by our app.
620,You have to run one emulator take screenshots close it and run another and so on.
621,SharpDX proves that those key technologies can be made available to CSharp: I would suggest to either support the project or to provide your own interface.
622,It would be more natural to allow the physical search key to activate the search function on the active application rather than loading Bing which is rarely the goal.
623,Associate bound objects to data templates implicitly by type instead of explicitly by template name.
624,For more information see Data Binding.
625,On WP8 add optional support to hook these hardware keys press events for the lens (plug-in) features...hardware keys should include vol+ vol- stage 1 (light press) camera shutter stage 2 (deep press) camera shutter.
626,"When an application has problems or when a problem is detected in advance by the developer until the publication of the correction version the client is without knowing what is happening, it would be possible for Microsoft to implement a communications resource developer for customers who have installed its application?"
627,Read/write accsess to email sync settings could enable applications to create custom sync profiles (based on week-days time position etc).
628,It s impossible to connect easily to ftp network I suggest to include it in the future sdk.
629,I hope Microsoft can open Asia voice function fastest
630,We need support special multitasking tasks like VOIP and IM!
631,Please add the possibility to add your own spell check service or provide the data if a system wide one existed.
632,If Microsoft created some incentives like a free device (Blackberry did this) and a free year of membership (Amazon did this) it could drive a lot of developers to the platform which is crucial to the platform taking off.
633,I would be a really nice gesture to have an option wich can put everything to the other side so when left handed people scroll they could also see the content.
634,It would be great to be able to have the emulator location data use the NMEA file format - either via file import/export or using the files directly as a feed.
635,currently you can only pin an album but it would be useful if you can pin a single image as a tile.. that way you have easy access to a it.
636,why shouldnt I as user be able to see reviews made by people from other countries?
637,For apps that synchronize or connect to networks sporadically it would be handy to have an easy way to detect if you are on a cheap connection so if WiFi is connected or the device is connected to the web via USB.
638,So suggestion is to add properties like “IsWiFiConnected” and “IsCableConnected” to DeviceNetworkInformation that execute fast.
639,Give developers good explanation what they do wrong and enforce good design.
640,Apps should take no longer than 2-3 seconds to start and need to explain why they would take longer.
641,Please provide APIs for call forwarding and other call management functions(hold/unholdswapconferenceetc)
642,As a user I would like to be able to select songs that I have put on the device (from my library) to wake up to.
643,Thus this idea is actually for the developers to make scrolling faster after each subsequent scroll like every 5 scrolls the scrolling speed will increase..
644,in addition the user should be able to take a scree shot within the multitasking area by using a finger gesture to drag the app towarda the bottom of the screen a screen capture icon should appear and the outer edges of the icon should fill with green and onve the edges are completly green a photograph noise will occur allow with a sudden screen flare to tell the user the screen shot has been taken and saved in the saved images folder
645,We need the ability for developers to add relevant tags to their app descriptions we then need the ability to search for apps with those tags tags should also be verified during app submission to ensure theyre relevant
646,It will be pleasant to go the main page of the app in the marketplace to see the general présentation screenshots & the other users reviews
647,Allow user to send Video Audio and more pictures in an MMS now only one pic is supported
648,Allow access to raw data such as signal strength imformation to allow creation of indoor location positioning using available wifi bluetooth or cellular networks when no gps data is available.
649,Since windows phones are selling hot in countries like India browser should start displaying Indian language characters.
650,And a smart dialer can then be a full alternative to the built-in phone app since the app also can have a quick-button for goto the regular phone app whenever the user wants to do that.
651,As an alternative to giving write-access to calendar (which can be hard to get a go on for security reasons) let us at least open an appointment directly in the calendar app.
652,Signal strength directly impacts video playback experience.
653,But reusing the operating system component saves us development effort and ensures it looks as expected as the operating system evolves.
654,You can ask for a request but its not clear what and when something will happen.
655,With windows u have the UI app and the service app hosted locally  may be the IIS express used during local debug can be used.
656,This new approach of developing applicaitons simlifies the UI development  where developer get rid of learning other technologies like java scriptangularjquerystyle sheets and all those n number of scripts.
657,Typical problem here would be deployment(Installationupdate) of the UI application to client machine But if we simplify this process of deployment like having the rules that the UI app should be only one obfuscated executable file It should not depend on reference… more
658,Bonus points for it to be xaml standard compliant
659,In addition this will allow a greater prominence of XAML Standard and greater acceptance in the market and in the media.
660,Dont require developers to use the background task builder and background triggers just to activate an app in the background.
661,A control that offers hour minute & second selection would be helpful.
662,Add to CollectionViewSource function pointer to get the group objects not just PropertyPath
663,A DatePickerFlyout whose Date is two-way bound will update target-to-source but not source-to-target.
664,When functions and FallbackValue is used in an x:bind at same time the parameter must match exactly.
665,Playback seamlessly between one media and another
666,A control for visualizing and editing networks graphs and flow-charts
667,Leave them alone!)
668,Does not make sense that an Idle task would be suspended for not being busy enough.
669,Making the task more busy (to work around idle tasks being suspended) would mean more battery usage kind of the opposite of what you want.
670,Microsoft wants us to build more connected app with Project Rome API.
671,It also annoys during development because now my solution has to have 4 target platforms while it could just have one.
672,What I want is to drag and drop a file then be able to get its full path and file name as stored on the disk and access it using standard C++ IO file access functions such as fopen fread etc.
673,I dont want to use XAML because: it looks complicated it looks like it can reduce performance Im making 3D heavy DirectX based applications that need full performance.
674,For example I drag and drop a BMP image my app compresses it and saves as PNG image automatically in the same folder with the same name.
675,Dual screen + Google Card Glass fulfill the function and make the application very attractive.
676,We wanna to commuicate other App in Desktop.
677,not only other UWP but WPF application.
678,Ive done the same tests in UWP mode using DXGI_SWAP_EFFECT_FLIP_DISCARD and results were the same slow as in Win32/WinAPI.
679,From what I see ASTC would be great for that have good quality but also small size looks like it has lot of format options so I could choose what I want.
680,Im pretty sure the new TreeView is not Fall Creators Update dependent.
681,Map became unusable after phone 10.0.15063 update.
682,ResolveCompleted event comes after ten seconds.
683,d) Lines on traffic layer are blurred jagged and looking bad.
684,While nice looking UWP UI is not well suited for creating UI-heavy classic applications (think VisualStudio/AutoCAD/Blender/LOBs with a lot of data) that you would never want to use on tablet/phone.
685,If our - ISV - UWP App also have this feature we can spent more time to trying the new feature and Insider customer and testers can use it and we could got feedbacks.
686,Because if you currently assign a Binding a VisualState setter as below it will resolve the value of the binding and assign that to the target while you would like to assign the binding itself.
687,This will allow designs and implementations to change bindings depending on states and even help some states where some bindings are not required to be temporarily set to x:Null for performance (handy in complex screens).
688,We can see the entries added in the registry but client cannot access the interfaces.
689,For example lets say I want to create shorthand for aligning a control inside RelativePanel fully horizontal like AlignHorizontalWithPanel.
690,Allows desktop apps to incrementally adopt UI innovations and creates a bridge to UWP for app UI.
691,I tried the converted app using IME.
692,We want to improve support Google IME.
693,I thinks its not difficult to do since Cortana for PC supports up to 13 languages as listed on https://support.microsoft.com/en-us/instantanswers/557b5e0e-0eb0-44db-87d6-5e5db6f9c5b0/cortana-s-regions-and-languages
694,You can verify this with the CameraStreamCorrelation sample.
695,The following streams are available on the PC:
696,The following streams are available on the XBOX:
697,Are there any plans to support skeleton tracking on the XBOX?
698,It seems such a shame that the new Kinect drivers expose the Kinect via this API and yet the ExposureControl is marked as being not supported for the Kinect.
699,From the libfreenect2 library it seems entirely possible to tell the Kinect not to do auto-exposure.
700,I expect that the content set directly (the text) to persist after closing the application.
701,To me something that may cause a runtime crash (and that the compiler clearly knows to flag) should not a warning but an error.
702,xbox dev mode companion work ipv6 please...
703,"Make it really smooth to update code of a UWP app,  like you are already doing with the XAML part the app is automatically reloaded without being shut down and relaunched."
704,A XAML designer for Visual Studio in Windows 7.
705,The control would allow for the use of the contact picker but allows for manual entry and deletion of contacts.
706,To give the user a sense of consistency the file picker remembers the last location that the user navigated to and will generally start at that location.
707,This is not always the best solution for example pretend you had a UWP app that asked the user to select a picture and a music file.
708,I am migrating my app from Windows Desktop using Core Audio API to UWP using hopefully AudioGraph.
709,We are exploring moving forward with UWP but currently there is no way to access the pipeline to add custom shaders and models like we do now in Virtual Earth with Microsoft.MapPoint.Graphics3D.GraphicsEngine3D and Microsoft.MapPoint.Rendering3D.Scene.Step.
710,Im developing a Java application so interop with C# is kinda tricky while interop Shell32 API or C libraries is pretty easy and straightforward with JNA.
711,It is very difficult to Create a Custom RichEditBox with all the basic features Like Text Formatting Bullets and numbering Support for Inking Like OneNote and also to support adaptive layout thats too much work for basic Text editing.
712,Im creating app using face detection.
713,If we put the MKV in another service or server the video is reproduced but the connection with OneDrive has been lost.
714,It stops on the way.
715,Chinese and Italian support have already been asked for.
716,In some cases an access error may occur at the time of opening a file or it may be opened correctly.
717,We want a solution.
718,Something seems to have changed with loggingchannel possibly default manifest code that handles the string message has changed around 15043?
719,FWIW preview versions of windows post anniversary update were showing the message correctly.
720,Id like to have implicit DataTemplates in UWP.
721,Currently i can only input plain text in toast notification <input> since the type does not support password.
722,Developers need to have good and deep understanding of how UI virtualization works on UWP app
723,Currently you can use the Pivot or there are 3rd-party vendors providing a TabControl.
724,Im converting some wpf apps to uwp and Im missing a report control.
725,Please open up the base classes for inheritance and provide a sample how to create a custom virtualizing panel.
726,Without this UWP is more or less a toy because any customization requires that the app be deployed completely separately.
727,This is only relevant for desktop UWP apps.
728,You can at least provide any of these solutions.
729,Id use this for my media phone playing Groove 24/7.
730,The panorama control is still the best control for my app and my users love it.
731,Updating the app to UWP is not possible without this control.
732,Currently there is no way to prevent MenuFlyout from closing when user click any of its items.
733,Im not even sure if it is not a bug because setting args.Cancel in Closing event is not working.
734,Support I/O transactions on UWP platform as part of Windows Runtime API for file I/O
735,For example three quick touch strokes to scroll immediately to the top or bottom.
736,Really long lists and views are boring to scroll even at maximum scroll speed.
737,Keyboard have Home/End keys to scroll to top/bottom but touch screen doesnt have same capability.
738,But this library is fairly low-level.
739,That concept is painfully evident when using Microsofts Edge browser and you want to browse various Favorites menus.
740,Specifically excellent mouse support means that menus will support all the hover actions that menus currently enjoy in win32 applications.
741,The current situation requires two mouse clicks to accomplish the same thing as a simple hover should.
742,I don’t know what the component should look like.
743,It can happen that sometimes we do need a control to store a list of pages/elements that looks like a Pivot control but with a infinite list of pages/elements.
744,So I tried to find other ways such as Excel Access or SQL Server Compact Edition.
745,So application would request secret API keys as needed from system-provided secure storage.
746,Release appx shouldnt have secret keys inside and keys should be on Windows Store server and those keys would be requested from server on application install.
747,Another advantage is the developer already have a preview in design mode
748,The idea would be to have a Try button on every sample.
749,This button will generate a ready to use Visual Studio project with the current sample.
750,It seems that animated GIFs disappear when application minimizes / restores.
751,Allow the user to select items drag them around and resize them.
752,We currently have a store app that works with our desktop app and it causes a great deal of confusion.
753,if you need anything from me for any reason I will do what ever I need to do to improve our software for our users.
754,As developer I want to create custom picker like Date or Time pickers
755,you cant scroll at that point.
756,In an XAML page there are some buttons and command bar buttons both of which have access keys set.
757,I am working on porting an app that could calculate MD5 checksums on a file.
758,Being an enterprise developer the advent of Big Data I believe the SeaDragon PivotViewer lastest binaries should be ported over to WPF/UWP apps as it is a well needed tool.
759,Since we are preparing a custom control with the ScrollViewer the look and feel is not nice.
760,Microsoft is loosing a huge market by not supporting a full net standard.
761,Evidently the MediaComposition.SaveAsync() API internally uses the StorageApplicationPermissions.FutureAccessLists API which has a limitation of 1000 items.
762,If you add more than 1000 clips created via MediaClip.CreateFromImageFileAsync() the API will fail with this exception:
763,An item must be removed before another item is added.
764,Additional information: The maximum number of items for the access list has been reached.
765,In case app is installed in SD card and notification uses custom audio file default notification sound is played instead of custom audio file.
766,In the end developers have to use some workarounds to simulate old behavior.
767,You can see that even Apps list in W10M simulates old behavior instead of default one.
768,When using FM radio i have my headphones plugged in.
769,This would make replying to messages etc.
770,I know its not possible at the moment specially with all the hardware limitations but if you guys really are working on a surface phone bringing visual studio to it will be so huge.
771,The problem is the output port names are enumerated by the UWP API as just MIDI and not the name of the port as defined when they were setup.
772,Reaper and other desktop programs are displaying the proper name.
773,Including <windows.h> shouldnt generate compile warnings even the extra ones.
774,That would make all the users happy :)
775,Hololens lets you render on 2 backbuffers(stereoscopic) but its hard to know if the output is correct because the emulator shows just one frame.
776,there is a bug in UWP where special characters are interpreted as letters when using multi layered keyboard layout like the german Neo2 layout.
777,Its also a total annoyance when working with data that require handling of lots of special charecters like JSON and XML data.
778,Looking forward to the progress youre doing :D
779,With Project Rome I can discover devices of others connect with them and launch apps or leverage app services once consent has been established.
780,This feature is implemented in the accessory API which is restricted to only smart watch makers.
781,This would allow them to know that additional awesome features are there.
782,The Windows display language of my computer is set to en-US because I am an app developer and most app problems and solutions are written in English.
783,Such functionality is common to music apps in Google Play Store Apple Store BlackBerry World.
784,In most cases such apps can be ported to UWP platform and because they are coming from a POSIX/Linux the network API is BSD sockets as well as some complex network communication libraries can be used to support this or that network-oriented functionality.
785,Currently the network data flow is boroken once app goes into background or screen is switched off.
786,Can in-app purchases made available to Windows Store for Business?
787,These channels are not accessible with the current AudioGraph APIs.
788,It has support for Linux and I think Windows should gain support too.
789,And the dac folder is empty.
790,Hello Dev Team!
791,In the app Settings you can disabled the swipe-open or make the swipe-in detection area wider if the users phone makes getting close to the screen edge difficult.
792,So there should be a way to either swap out style XAML RsourceDictionary files and/or pieces of… more
793,Any feedback is appreciated Thanks John.
794,XAML apps can detect it but there is no equivalent WinRT API for JS apps.
795,My HTML perfectly fine in Windows 10 but not in Windows 10 Mobile.
796,As an information this is the xaml control that contain the complex attribute/property :
797,In my opinion this feature is really fundamental much more important to me than many new features that appears regularly.
798,According to the documentation the proper way to handle input in a store app is to create a CoreIndependentInputSource from another thread by calling swapChainPanel.CreateCoreIndependentInputSource().
799,Devices with touch input are the ones that suffer the most from this bug since they come with weak GPUs.
800,Devs have to chose either low responsiveness or low performance.
801,The application will exit..
802,Having an API allowing getting the color of the pixels under a pointer (eventually throttled/async and only when having pointer capture on) would increase the expressiveness of the creation tools in UWP applications.
803,I am manually having to keep a list of these when it would be easily managed in the Dashboard if the status properly reflected this.
804,The current status only seems to show ‘In Progress’ if the app has never been put in the store before.
